ItemOID,ItemLabel,Theme,Domain,ExternalId,ExternalLabel
I_BLOOD_WHITEBLOODCELL,WhiteBloodCell,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/767002,White blood cell count
I_BLOOD_GLUCOSE,Glucose,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/434912009,Blood glucose concentration
I_BLOOD_CHOLESTEROL,Cholesterol,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/365793008,Cholesterol level - finding
I_BLOOD_TRIGLYCERIDES,Triglycerides,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/365795001,Triglyceride level - finding
I_BLOOD_HDL,HDL,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/365791005,Lipid level - finding
I_BLOOD_LDL,LDL,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/365791005,Lipid level - finding
I_BLOOD_IRON,Iron,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/250216004,Serum iron measurement
I_BLOOD_SODIUM,Sodium,Blood,Findings,http://snomed.info/sct/32506021000036107/version/20150531/id/365761000,Sodium level - finding
I_BLOOD_COLLECTIONTIME,CollectionTime,Blood,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/168149003,Fluid sample collection time
I_VITAL_READINGSBODYPART_8890,ReadingsBodyPart,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/38866009,Body part structure
I_VITAL_READINGSTAKENBY_4404,ReadingsTakenBy,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/125676002,Person
I_VITAL_READINGSTIME_1720,ReadingsTime,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/410669006,Time
I_VITAL_READINGSBODYPOSITION_1915,ReadingsBodyPosition,VitalSign,Observables,http://snomed.info/sct/32506021000036107/version/20150531/id/397155001,Body position
I_MEDIC_ONTOLOGYID_5156,OntologyID,Pharmaceutical,,,ODM Ontology ID
I_MEDIC_ONTOLOGYVERSION_7814,OntologyVersion,Pharmaceutical,,,ODM Ontology version 
